Kabupaten/Kota,Tahun,APS,Penduduk Miskin,Kepadatan Penduduk,IPM,Rasio Murid-Guru,PDRB per Kapita,UMR,TPT,RataRataLamaSekolah
Bandung,2018,0.11,246.1,2103,71.75,23,30394,2678028.98,5.07,8.58
Bandung,2019,0.14,223.2,2135,72.41,19,33526,2893074.71,5.51,8.79
Bandung,2020,0.06,263.6,2050,72.39,21,34206,3139275.37,8.58,8.96
Bandung,2021,0.09,269.2,2071,72.73,23,35589,3241929.67,8.32,9.07
Bandung Barat,2018,0.25,169,1289,67.46,20,26019,2683277.45,8.55,7.97
Bandung Barat,2019,0.27,159,1302,68.27,19,28209,2898744.63,8.24,8.18
Bandung Barat,2020,0.35,179.5,1970,68.08,19,26088,3145427.79,12.25,8.19
Bandung Barat,2021,0.12,190.8,1389,68.29,22,26879,3248283.28,11.65,8.2
Bangkalan,2018,0.98,191.33,978,62.87,19,24361,1663975.05,5.09,5.33
Bangkalan,2019,1.13,186.11,985,63.79,19,24978,1801406.09,5.62,5.66
Bangkalan,2020,0.29,204,1059,64.11,18,22038,1954705.75,8.77,5.95
Bangkalan,2021,0.34,215.97,1070,64.36,16,23014,1954705.75,8.07,5.96
Banjarnegara,2018,0.06,141.72,858,66.54,16,21857,1490000,3.99,6.28
Banjarnegara,2019,0.14,136.1,902,67.34,17,23511,1610000,4.44,6.5
Banjarnegara,2020,0.15,144.95,994,67.45,16,21376,1748000,5.86,6.74
Banjarnegara,2021,,150.19,1003.06,67.86,17,22231,1805000,5.86,6.75
Bantul,2018,0.18,134.84,1986,79.45,14,24287.59,1572150,2.72,9.35
Bantul,2019,0.16,131.15,2009,80.01,13,25725,1649800,3.06,9.54
Bantul,2020,0.04,138.66,1945,80.01,13,26581,1790500,4.06,9.55
Bantul,2021,0.02,146.98,1970,80.28,15,28129,1805000,4.04,9.57
Banyumas,2018,0.06,226.23,1265,71.3,18,29716,1589000,4.15,7.41
Banyumas,2019,0.25,211.65,1268,71.96,18,32016,1750000,4.17,7.42
